"App Name","Category","Rating","Reviews","Size","Installs","Type","Price","Content Rating","Last Updated","Current Ver","Android Ver"
"Photo Editor & Candy Camera & Grid & ScrapBook","Art & Design","4.1","159","19M","10,000+","Free","0","Everyone","7-Jan-18","1.0.0","4.0.3 and up"
"Coloring book moana","Art & Design;Pretend Play","3.9","967","14M","500,000+","Free","0","Everyone","15-Jan-18","2.0.0","4.0.3 and up"
"U Launcher Lite â€“ FREE Live Cool Themes, Hide Apps","Art & Design","4.7","87510","8.7M","5,000,000+","Free","0","Everyone","1-Aug-18","1.2.4","4.0.3 and up"
"Sketch - Draw & Paint","Art & Design","4.5","215644","25M","50,000,000+","Free","0","Teen","8-Jun-18","Varies with device","4.2 and up"
"Pixel Draw - Number Art Coloring Book","Art & Design;Creativity","4.3","967","2.8M","100,000+","Free","0","Everyone","20-Jun-18","1.1","4.4 and up"
"Paper flowers instructions","Art & Design","4.4","167","5.6M","50,000+","Free","0","Everyone","26-Mar-17","1","2.3 and up"
"Smoke Effect Photo Maker - Smoke Editor","Art & Design","3.8","178","19M","50,000+","Free","0","Everyone","26-Apr-18","1.1","4.0.3 and up"
"Infinite Painter","Art & Design","4.1","36815","29M","1,000,000+","Free","0","Everyone","14-Jun-18","6.1.61.1","4.2 and up"
"Garden Coloring Book","Art & Design","4.4","13791","33M","1,000,000+","Free","0","Everyone","20-Sep-17","2.9.2","3.0 and up"
"Kids Paint Free - Drawing Fun","Art & Design;Creativity","4.7","121","3.1M","10,000+","Free","0","Everyone","3-Jul-18","2.8","4.0.3 and up"
"Text on Photo - Fonteee","Art & Design","4.4","13880","28M","1,000,000+","Free","0","Everyone","27-Oct-17","1.0.4","4.1 and up"
"Name Art Photo Editor - Focus n Filters","Art & Design","4.4","8788","12M","1,000,000+","Free","0","Everyone","31-Jul-18","1.0.15","4.0 and up"
"Tattoo Name On My Photo Editor","Art & Design","4.2","44829","20M","10,000,000+","Free","0","Teen","2-Apr-18","3.8","4.1 and up"
"Mandala Coloring Book","Art & Design","4.6","4326","21M","100,000+","Free","0","Everyone","26-Jun-18","1.0.4","4.4 and up"
